name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Feierling Inselhopf,Hausbrauerei Feierling,Germany,Kellerbier / ZwickelbierRanked #1,Kellerbier / Zwickelbier,Ranked #1, 5%,"94Ranked #2,256",94,"Ranked #2,256",4.41 | pDev: 11.79%,4.41,11.79%,6,19,Active,"Aug 10, 2004"
Splinters,Black Raven Brewing Co.,"Washington, United States",Scotch Ale / Wee HeavyRanked #11,Scotch Ale / Wee Heavy,Ranked #11, 10.8%,"93Ranked #3,359",93,"Ranked #3,359",4.21 | pDev: 8.55%,4.21,8.55%,26,100,Active,"May 11, 2010"
Kentucky Kilt,Alesong Brewing & Blending,"Oregon, United States",Scotch Ale / Wee HeavyRanked #12,Scotch Ale / Wee Heavy,Ranked #12, 12.5%,"93Ranked #4,249",93,"Ranked #4,249",4.28 | pDev: 5.61%,4.28,5.61%,8,20,Active,"Mar 18, 2018"
Wee Heavy,AleSmith Brewing Company,"California, United States",Scotch Ale / Wee HeavyRanked #13,Scotch Ale / Wee Heavy,Ranked #13, 10%,"93Ranked #4,051",93,"Ranked #4,051",4.16 | pDev: 9.13%,4.16,9.13%,482,"1,263",Active,"Apr 19, 2002"
Traquair House Ale,Traquair House Brewery,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #14,Scotch Ale / Wee Heavy,Ranked #14, 7.2%,"92Ranked #4,397",92,"Ranked #4,397",4.15 | pDev: 9.88%,4.15,9.88%,656,"1,169",Active,"Jun 07, 2000"
The Barbaric Yawp - Barrel-Aged,Blackrocks Brewery,"Michigan, United States",Scotch Ale / Wee HeavyRanked #15,Scotch Ale / Wee Heavy,Ranked #15, 11%,"92Ranked #4,997",92,"Ranked #4,997",4.22 | pDev: 5.21%,4.22,5.21%,14,26,Active,"Apr 02, 2018"
Traquair Jacobite,Traquair House Brewery,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #16,Scotch Ale / Wee Heavy,Ranked #16, 8%,"92Ranked #4,717",92,"Ranked #4,717",4.14 | pDev: 10.63%,4.14,10.63%,589,"1,009",Active,"Oct 14, 2001"
Kilt Switch,903 Brewers,"Texas, United States",Scotch Ale / Wee HeavyRanked #17,Scotch Ale / Wee Heavy,Ranked #17, 12.9%,"91Ranked #6,677",91,"Ranked #6,677",4.15 | pDev: 7.95%,4.15,7.95%,17,31,Active,"Mar 31, 2018"
Rob Boss Did It,Noon Whistle Brewing,"Illinois, United States",Scotch Ale / Wee HeavyRanked #18,Scotch Ale / Wee Heavy,Ranked #18, 12.1%,"91Ranked #6,865",91,"Ranked #6,865",4.13 | pDev: 8.23%,4.13,8.23%,8,41,Active,"Aug 31, 2015"
Skull Splitter,Orkney Brewery,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #19,Scotch Ale / Wee Heavy,Ranked #19, 8.5%,"91Ranked #7,038",91,"Ranked #7,038",4.08 | pDev: 12.01%,4.08,12.01%,"1,064","2,357",Active,"Oct 08, 1998"
Diddy Muckle,Sun King Brewing Company,"Indiana, United States",Scotch Ale / Wee HeavyRanked #20,Scotch Ale / Wee Heavy,Ranked #20, 12.9%,"91Ranked #7,473",91,"Ranked #7,473",4.14 | pDev: 8.45%,4.14,8.45%,7,25,Active,"Nov 24, 2015"
Big Sound,Cigar City Brewing,"Florida, United States",Scotch Ale / Wee HeavyRanked #21,Scotch Ale / Wee Heavy,Ranked #21, 8.5%,"91Ranked #7,136",91,"Ranked #7,136",4.08 | pDev: 10.05%,4.08,10.05%,204,724,Active,"Dec 05, 2008"
90/~ Wee Heavy,Belhaven Brewery Company Ltd.,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #22,Scotch Ale / Wee Heavy,Ranked #22, 7.4%,"91Ranked #7,300",91,"Ranked #7,300",4.08 | pDev: 8.58%,4.08,8.58%,98,248,Active,"Jan 06, 2015"
Mountain Man Scotch Ale,Jeremiah Johnson Brewing Co.,"Montana, United States",Scotch Ale / Wee HeavyRanked #23,Scotch Ale / Wee Heavy,Ranked #23, 6.5%,"91Ranked #7,645",91,"Ranked #7,645",4.12 | pDev: 6.8%,4.12,6.8%,18,32,Active,"Oct 06, 2018"
Wee Heavy,Belhaven Brewery Company Ltd.,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #24,Scotch Ale / Wee Heavy,Ranked #24, 6.5%,"91Ranked #7,945",91,"Ranked #7,945",4.06 | pDev: 11.58%,4.06,11.58%,578,"1,099",Active,"Mar 24, 1998"
Captain Of The Coast,Pelican Pub & Brewery,"Oregon, United States",Scotch Ale / Wee HeavyRanked #25,Scotch Ale / Wee Heavy,Ranked #25, 9.5%,"90Ranked #8,361",90,"Ranked #8,361",4.09 | pDev: 13.2%,4.09,13.2%,16,38,Active,"Oct 18, 2016"
Dirty Bastard,Founders Brewing Company,"Michigan, United States",Scotch Ale / Wee HeavyRanked #26,Scotch Ale / Wee Heavy,Ranked #26, 8.5%,"90Ranked #8,334",90,"Ranked #8,334",4.05 | pDev: 10.62%,4.05,10.62%,"2,126","8,202",Active,"Jan 03, 2003"
Ride The Lion,Clown Shoes,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #27,Scotch Ale / Wee Heavy,Ranked #27, 11%,"90Ranked #8,506",90,"Ranked #8,506",4.05 | pDev: 9.14%,4.05,9.14%,76,489,Active,"May 28, 2014"
We're Going To Need You To Come In On Saturday,Exhibit 'A' Brewing Company,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #28,Scotch Ale / Wee Heavy,Ranked #28, 8.4%,"90Ranked #8,924",90,"Ranked #8,924",4.1 | pDev: 8.78%,4.1,8.78%,8,23,Active,"Jan 05, 2018"
Munro,Barreled Souls Brewing Company,"Maine, United States",Scotch Ale / Wee HeavyRanked #29,Scotch Ale / Wee Heavy,Ranked #29, 9%,"90Ranked #8,987",90,"Ranked #8,987",4.1 | pDev: 6.1%,4.1,6.1%,12,22,Active,"Jan 30, 2015"
Chardonnay Barrel Aged Scotch Silly,Brasserie de Silly S.A.,Belgium,Scotch Ale / Wee HeavyRanked #30,Scotch Ale / Wee Heavy,Ranked #30, 10%,"90Ranked #9,043",90,"Ranked #9,043",4.09 | pDev: 5.62%,4.09,5.62%,12,25,Active,"Nov 20, 2018"
Old World,Tree House Brewing Company,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #31,Scotch Ale / Wee Heavy,Ranked #31, 8.2%,"90Ranked #9,220",90,"Ranked #9,220",4.09 | pDev: 6.85%,4.09,6.85%,8,23,Active,"Mar 16, 2022"
Old Fashioned Holiday Ale,Bell's Brewery - Eccentric Café & General Store,"Michigan, United States",Scotch Ale / Wee HeavyRanked #32,Scotch Ale / Wee Heavy,Ranked #32, 10.8%,"90Ranked #9,134",90,"Ranked #9,134",4.05 | pDev: 10.62%,4.05,10.62%,35,80,Active,"Nov 11, 2018"
Icelandic Wee Heavy,Einstök Ölgerð (Einstök Beer Company),Iceland,Scotch Ale / Wee HeavyRanked #33,Scotch Ale / Wee Heavy,Ranked #33, 8%,"90Ranked #9,024",90,"Ranked #9,024",4.04 | pDev: 9.41%,4.04,9.41%,116,276,Active,"Jul 11, 2016"
Wee Heavy ,Zaftig Brewing Co.,"Ohio, United States",Scotch Ale / Wee HeavyRanked #34,Scotch Ale / Wee Heavy,Ranked #34, 10%,"90Ranked #9,500",90,"Ranked #9,500",4.07 | pDev: 8.35%,4.07,8.35%,9,29,Active,"Feb 28, 2014"
Well Fed Sheep,Off Color Brewing,"Illinois, United States",Scotch Ale / Wee HeavyRanked #35,Scotch Ale / Wee Heavy,Ranked #35, 9.5%,"90Ranked #9,886",90,"Ranked #9,886",4.09 | pDev: 7.33%,4.09,7.33%,10,17,Active,"Dec 22, 2020"
Magnificent Bastard Scotch Ale,Silver City Brewery & Taproom,"Washington, United States",Scotch Ale / Wee HeavyRanked #36,Scotch Ale / Wee Heavy,Ranked #36, 9.2%,"90Ranked #9,520",90,"Ranked #9,520",4.03 | pDev: 12.9%,4.03,12.9%,98,236,Active,"Nov 27, 2003"
Old Chub,Oskar Blues Grill & Brew,"Colorado, United States",Scotch Ale / Wee HeavyRanked #37,Scotch Ale / Wee Heavy,Ranked #37, 8%,"90Ranked #9,773",90,"Ranked #9,773",4.02 | pDev: 10.95%,4.02,10.95%,"1,774","5,534",Active,"Dec 13, 2003"
Scotty Karate Scotch Ale,Dark Horse Brewing Company,"Michigan, United States",Scotch Ale / Wee HeavyRanked #38,Scotch Ale / Wee Heavy,Ranked #38, 9.75%,"90Ranked #9,795",90,"Ranked #9,795",4.02 | pDev: 11.19%,4.02,11.19%,628,"1,883",Active,"Jan 28, 2006"
Castle Stormer Scottish Ale,Granite Falls Brewing Co.,"North Carolina, United States",Scotch Ale / Wee HeavyRanked #39,Scotch Ale / Wee Heavy,Ranked #39, 9%,"89Ranked #10,728",89,"Ranked #10,728",4.08 | pDev: 7.6%,4.08,7.6%,6,13,Active,"Dec 26, 2014"
Going Plaid,Fifty West Brewing Co,"Ohio, United States",Scotch Ale / Wee HeavyRanked #40,Scotch Ale / Wee Heavy,Ranked #40, 8%,"89Ranked #10,858",89,"Ranked #10,858",4.09 | pDev: 6.6%,4.09,6.6%,4,11,Active,"Jan 16, 2016"
Barrel Aged Highland Charge,Heathen Brewing,"Washington, United States",Scotch Ale / Wee HeavyRanked #41,Scotch Ale / Wee Heavy,Ranked #41, 11%,"89Ranked #10,890",89,"Ranked #10,890",4.06 | pDev: 8.87%,4.06,8.87%,9,16,Active,"Apr 08, 2017"
Warped Speed Scotch Ale,Lake Louie Brewery Company,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #42,Scotch Ale / Wee Heavy,Ranked #42, 6.9%,"90Ranked #10,352",90,"Ranked #10,352",4.01 | pDev: 12.72%,4.01,12.72%,179,416,Active,"Jul 24, 2002"
Thumbprint Scotch Ale,New Glarus Brewing Company,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #43,Scotch Ale / Wee Heavy,Ranked #43, 9.75%,"89Ranked #10,803",89,"Ranked #10,803",4.04 | pDev: 8.42%,4.04,8.42%,13,24,Active,"Sep 06, 2023"
Sheep Shagger Scotch Ale,Tyranena Brewing Company,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #44,Scotch Ale / Wee Heavy,Ranked #44, 7.5%,"89Ranked #10,829",89,"Ranked #10,829",4 | pDev: 9.5%,4,9.5%,104,311,Active,"Feb 02, 2008"
Oh My Darlyn!,Revelry Brewing Co,"South Carolina, United States",Scotch Ale / Wee HeavyRanked #45,Scotch Ale / Wee Heavy,Ranked #45, 9%,"89Ranked #11,480",89,"Ranked #11,480",4.04 | pDev: 12.62%,4.04,12.62%,7,16,Active,"Mar 09, 2015"
Scotch Ale,Guadalupe Brewing Co.,"Texas, United States",Scotch Ale / Wee HeavyRanked #46,Scotch Ale / Wee Heavy,Ranked #46, 8.17%,"89Ranked #11,313",89,"Ranked #11,313",4 | pDev: 13.25%,4,13.25%,10,73,Active,"Apr 18, 2013"
Kilt Lifter - Wood-Aged,Pike Brewing Company,"Washington, United States",Scotch Ale / Wee HeavyRanked #47,Scotch Ale / Wee Heavy,Ranked #47, 8.5%,"89Ranked #11,494",89,"Ranked #11,494",4.01 | pDev: 8.98%,4.01,8.98%,13,34,Active,"Oct 12, 2014"
Wee Heavy,Steel Toe Brewing,"Minnesota, United States",Scotch Ale / Wee HeavyRanked #48,Scotch Ale / Wee Heavy,Ranked #48, 10.9%,"89Ranked #11,646",89,"Ranked #11,646",3.99 | pDev: 8.27%,3.99,8.27%,17,94,Active,"Nov 22, 2012"
Barrel Aged Kings Mountain,Heritage Brewing Co.,"Virginia, United States",Scotch Ale / Wee HeavyRanked #49,Scotch Ale / Wee Heavy,Ranked #49, 11%,"89Ranked #12,067",89,"Ranked #12,067",4.01 | pDev: 11.47%,4.01,11.47%,6,21,Active,"Jul 29, 2014"
180 Shilling Ale,Odell Brewing Company,"Colorado, United States",Scotch Ale / Wee HeavyRanked #50,Scotch Ale / Wee Heavy,Ranked #50, 9.9%,"89Ranked #11,866",89,"Ranked #11,866",3.98 | pDev: 11.31%,3.98,11.31%,51,218,Active,"Aug 01, 2014"
Seven Devils,Olde Hickory Brewery,"North Carolina, United States",Scotch Ale / Wee HeavyRanked #51,Scotch Ale / Wee Heavy,Ranked #51, 11.6%,"89Ranked #11,903",89,"Ranked #11,903",3.98 | pDev: 9.05%,3.98,9.05%,55,189,Active,"Feb 16, 2012"
Real Heavy,Real Ale Brewing Company,"Texas, United States",Scotch Ale / Wee HeavyRanked #52,Scotch Ale / Wee Heavy,Ranked #52, 9.7%,"89Ranked #11,932",89,"Ranked #11,932",3.98 | pDev: 9.55%,3.98,9.55%,43,164,Active,"Mar 23, 2008"
Drafty Kilt - Bourbon Barrel-Aged,Monday Night Brewing,"Georgia, United States",Scotch Ale / Wee HeavyRanked #53,Scotch Ale / Wee Heavy,Ranked #53, 8.5%,"89Ranked #11,943",89,"Ranked #11,943",3.98 | pDev: 11.06%,3.98,11.06%,37,159,Active,"Dec 17, 2013"
MacKroken Flower,"Le Bilboquet, Brasseur Artisan","Quebec, Canada",Scotch Ale / Wee HeavyRanked #54,Scotch Ale / Wee Heavy,Ranked #54, 10.8%,"89Ranked #12,046",89,"Ranked #12,046",3.98 | pDev: 11.31%,3.98,11.31%,56,115,Active,"Apr 17, 2009"
Angry Scotch Ale,Russell Brewing Company,"British Columbia, Canada",Scotch Ale / Wee HeavyRanked #55,Scotch Ale / Wee Heavy,Ranked #55, 6.5%,"89Ranked #12,056",89,"Ranked #12,056",3.98 | pDev: 11.81%,3.98,11.81%,39,108,Active,"Mar 31, 2010"
Soul Shakedown Party,Sun King Brewing Company,"Indiana, United States",Scotch Ale / Wee HeavyRanked #56,Scotch Ale / Wee Heavy,Ranked #56, 9%,"89Ranked #12,482",89,"Ranked #12,482",4 | pDev: 6.25%,4,6.25%,1,19,Active,"Apr 28, 2014"
Pinot Noir Barrel Aged Scotch Silly,Brasserie de Silly S.A.,Belgium,Scotch Ale / Wee HeavyRanked #57,Scotch Ale / Wee Heavy,Ranked #57, 10%,"89Ranked #12,812",89,"Ranked #12,812",4.01 | pDev: 9.73%,4.01,9.73%,7,12,Active,"Nov 07, 2019"
Apple Baron,Clown Shoes,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #58,Scotch Ale / Wee Heavy,Ranked #58, 11%,"89Ranked #12,731",89,"Ranked #12,731",3.99 | pDev: 5.01%,3.99,5.01%,10,21,Active,"Sep 22, 2019"
Cold Smoke Scotch Ale,KettleHouse Brewing Co. (Southside Taproom),"Montana, United States",Scotch Ale / Wee HeavyRanked #59,Scotch Ale / Wee Heavy,Ranked #59, 6.5%,"89Ranked #12,281",89,"Ranked #12,281",3.97 | pDev: 11.08%,3.97,11.08%,104,337,Active,"Aug 20, 2002"
Valhalla,Earth Rider Brewery,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #60,Scotch Ale / Wee Heavy,Ranked #60, 8.6%,"88Ranked #13,335",88,"Ranked #13,335",4 | pDev: 3%,4,3%,5,10,Active,"Apr 09, 2018"
Scotch Ale,Naked Dove Brewing Company,"New York, United States",Scotch Ale / Wee HeavyRanked #61,Scotch Ale / Wee Heavy,Ranked #61, 7.6%,"88Ranked #13,197",88,"Ranked #13,197",3.98 | pDev: 6.53%,3.98,6.53%,6,18,Active,"May 09, 2012"
Highland Charge,Heathen Brewing,"Washington, United States",Scotch Ale / Wee HeavyRanked #62,Scotch Ale / Wee Heavy,Ranked #62, 10.1%,"88Ranked #13,345",88,"Ranked #13,345",3.98 | pDev: 8.79%,3.98,8.79%,4,16,Active,"Apr 15, 2015"
Scotch Ale,Rohrbach Brewing Company (Brewpub),"New York, United States",Scotch Ale / Wee HeavyRanked #63,Scotch Ale / Wee Heavy,Ranked #63, 6.8%,"89Ranked #12,852",89,"Ranked #12,852",3.96 | pDev: 11.87%,3.96,11.87%,71,196,Active,"Nov 05, 2001"
Scotia Scotch Ale,Bosque Brewing Co.,"New Mexico, United States",Scotch Ale / Wee HeavyRanked #64,Scotch Ale / Wee Heavy,Ranked #64, 8.4%,"89Ranked #13,109",89,"Ranked #13,109",3.96 | pDev: 9.85%,3.96,9.85%,20,60,Active,"Feb 13, 2013"
Six Stone Scotch Ale,Raised Grain Brewing Company,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #65,Scotch Ale / Wee Heavy,Ranked #65, 8.91%,"88Ranked #13,815",88,"Ranked #13,815",3.98 | pDev: 8.54%,3.98,8.54%,3,10,Active,"Oct 01, 2015"
Sons of Scotland,Ex Novo Brewing,"Oregon, United States",Scotch Ale / Wee HeavyRanked #66,Scotch Ale / Wee Heavy,Ranked #66, 7.6%,"88Ranked #13,987",88,"Ranked #13,987",3.97 | pDev: 3.53%,3.97,3.53%,7,11,Active,"Jan 09, 2021"
Da Percolator,Noon Whistle Brewing,"Illinois, United States",Scotch Ale / Wee HeavyRanked #67,Scotch Ale / Wee Heavy,Ranked #67, 8.4%,"88Ranked #13,803",88,"Ranked #13,803",3.96 | pDev: 8.59%,3.96,8.59%,1,19,Active,"Mar 10, 2015"
Mountain Man Strong Ale,Jeremiah Johnson Brewing Co.,"Montana, United States",Scotch Ale / Wee HeavyRanked #68,Scotch Ale / Wee Heavy,Ranked #68, 6.8%,"88Ranked #13,550",88,"Ranked #13,550",3.95 | pDev: 6.84%,3.95,6.84%,15,63,Active,"Jan 04, 2014"
Lord Grizzly,Lost Cabin Beer Co.,"South Dakota, United States",Scotch Ale / Wee HeavyRanked #69,Scotch Ale / Wee Heavy,Ranked #69, 8.2%,"88Ranked #13,974",88,"Ranked #13,974",3.95 | pDev: 9.87%,3.95,9.87%,7,25,Active,"May 17, 2016"
Hold Steady,Ratio Beerworks,"Colorado, United States",Scotch Ale / Wee HeavyRanked #70,Scotch Ale / Wee Heavy,Ranked #70, 7.5%,"88Ranked #14,027",88,"Ranked #14,027",3.95 | pDev: 5.82%,3.95,5.82%,4,23,Active,"Feb 21, 2015"
Kilty Pleasure,MIA Beer Co.,"Florida, United States",Scotch Ale / Wee HeavyRanked #71,Scotch Ale / Wee Heavy,Ranked #71, 7%,"88Ranked #14,624",88,"Ranked #14,624",3.95 | pDev: 8.1%,3.95,8.1%,0,10,Active,"Jan 06, 2015"
Scotch Silly - Scotch Barrel-Aged,Brasserie de Silly S.A.,Belgium,Scotch Ale / Wee HeavyRanked #72,Scotch Ale / Wee Heavy,Ranked #72, 9%,"88Ranked #14,539",88,"Ranked #14,539",3.94 | pDev: 5.58%,3.94,5.58%,6,19,Active,"Oct 02, 2017"
Bourbon Aged Dark Ale,Innis & Gunn,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #73,Scotch Ale / Wee Heavy,Ranked #73, 7.4%,"88Ranked #14,426",88,"Ranked #14,426",3.93 | pDev: 10.18%,3.93,10.18%,33,89,Active,"May 10, 2016"
High Falutin,Noon Whistle Brewing,"Illinois, United States",Scotch Ale / Wee HeavyRanked #74,Scotch Ale / Wee Heavy,Ranked #74, 8.5%,"88Ranked #14,904",88,"Ranked #14,904",3.93 | pDev: 9.41%,3.93,9.41%,2,18,Active,"Jan 06, 2015"
Berkshire Scotch Ale,Berkshire Brewing Company,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #75,Scotch Ale / Wee Heavy,Ranked #75, 7%,"88Ranked #14,896",88,"Ranked #14,896",3.92 | pDev: 8.93%,3.92,8.93%,26,84,Active,"Apr 16, 2006"
Outta Kilter - Barrel-Aged,Hoppin' Frog Brewery,"Ohio, United States",Scotch Ale / Wee HeavyRanked #76,Scotch Ale / Wee Heavy,Ranked #76, 8.2%,"88Ranked #14,803",88,"Ranked #14,803",3.92 | pDev: 9.18%,3.92,9.18%,57,209,Active,"Aug 06, 2012"
Christmas Ale (2017-),Bell's Brewery - Eccentric Café & General Store,"Michigan, United States",Scotch Ale / Wee HeavyRanked #77,Scotch Ale / Wee Heavy,Ranked #77, 7.5%,"88Ranked #14,764",88,"Ranked #14,764",3.92 | pDev: 7.91%,3.92,7.91%,124,348,Active,"Nov 09, 2017"
Wolf,Windswept Brewing Co,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #78,Scotch Ale / Wee Heavy,Ranked #78, 6%,"88Ranked #15,590",88,"Ranked #15,590",3.91 | pDev: 11.51%,3.91,11.51%,6,15,Active,"Oct 05, 2015"
The Barbaric Yawp,Blackrocks Brewery,"Michigan, United States",Scotch Ale / Wee HeavyRanked #79,Scotch Ale / Wee Heavy,Ranked #79, 8.5%,"88Ranked #15,451",88,"Ranked #15,451",3.91 | pDev: 11.76%,3.91,11.76%,10,45,Active,"May 10, 2014"
Old Jock,Broughton Ales Ltd,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #80,Scotch Ale / Wee Heavy,Ranked #80, 6.7%,"88Ranked #15,308",88,"Ranked #15,308",3.91 | pDev: 12.02%,3.91,12.02%,119,160,Active,"Feb 01, 2002"
Royal Standard,Clown Shoes,"Massachusetts, United States",Scotch Ale / Wee HeavyRanked #81,Scotch Ale / Wee Heavy,Ranked #81, 8%,"88Ranked #15,273",88,"Ranked #15,273",3.91 | pDev: 8.7%,3.91,8.7%,74,303,Active,"Apr 29, 2014"
Wee Heavy Scotch Style Ale,The Duck-Rabbit Craft Brewery,"North Carolina, United States",Scotch Ale / Wee HeavyRanked #82,Scotch Ale / Wee Heavy,Ranked #82, 8%,"88Ranked #15,256",88,"Ranked #15,256",3.91 | pDev: 10.74%,3.91,10.74%,301,508,Active,"May 15, 2006"
Équinoxe Du Printemps,Brasserie Dieu du Ciel!,"Quebec, Canada",Scotch Ale / Wee HeavyRanked #83,Scotch Ale / Wee Heavy,Ranked #83, 9.5%,"88Ranked #15,252",88,"Ranked #15,252",3.91 | pDev: 9.97%,3.91,9.97%,278,614,Active,"May 02, 2003"
Plaid Panther,Hop Haus Brewing Company,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #84,Scotch Ale / Wee Heavy,Ranked #84, 8%,"87Ranked #15,911",87,"Ranked #15,911",3.9 | pDev: 8.21%,3.9,8.21%,6,16,Active,"Oct 08, 2015"
The Scotsman,Wooden Cask Brewing Company,"Kentucky, United States",Scotch Ale / Wee HeavyRanked #85,Scotch Ale / Wee Heavy,Ranked #85, 8%,"87Ranked #16,105",87,"Ranked #16,105",3.89 | pDev: 8.23%,3.89,8.23%,7,19,Active,"Mar 16, 2017"
Hope & King Scotch Ale,Minneapolis Town Hall Brewery,"Minnesota, United States",Scotch Ale / Wee HeavyRanked #86,Scotch Ale / Wee Heavy,Ranked #86, 6%,"87Ranked #15,717",87,"Ranked #15,717",3.9 | pDev: 8.97%,3.9,8.97%,80,188,Active,"Jan 28, 2003"
Salty Scot,Parallel 49 Brewing Company,"British Columbia, Canada",Scotch Ale / Wee HeavyRanked #87,Scotch Ale / Wee Heavy,Ranked #87, 7.5%,"87Ranked #15,705",87,"Ranked #15,705",3.9 | pDev: 12.82%,3.9,12.82%,66,288,Active,"Nov 17, 2012"
Bo's Scotch Ale,Stark Brewing Company,"New Hampshire, United States",Scotch Ale / Wee HeavyRanked #88,Scotch Ale / Wee Heavy,Ranked #88, 10%,"87Ranked #16,170",87,"Ranked #16,170",3.89 | pDev: 9.25%,3.89,9.25%,24,42,Active,"Apr 20, 2002"
Stewart's 80/-,Stewart Brewing Ltd,"Scotland, United Kingdom",Scotch Ale / Wee HeavyRanked #89,Scotch Ale / Wee Heavy,Ranked #89, 4.4%,"87Ranked #16,986",87,"Ranked #16,986",3.86 | pDev: 7.25%,3.86,7.25%,5,15,Active,"Jul 23, 2008"
Highlands Scotch Ale,Idaho Brewing Company,"Idaho, United States",Scotch Ale / Wee HeavyRanked #90,Scotch Ale / Wee Heavy,Ranked #90, 7.5%,"87Ranked #17,230",87,"Ranked #17,230",3.86 | pDev: 8.55%,3.86,8.55%,6,24,Active,"Sep 17, 2013"
Gregarious,Queen City Brewery,"Vermont, United States",Scotch Ale / Wee HeavyRanked #91,Scotch Ale / Wee Heavy,Ranked #91, 7.5%,"87Ranked #17,303",87,"Ranked #17,303",3.86 | pDev: 9.84%,3.86,9.84%,10,33,Active,"Aug 28, 2015"
Ole Gus,Meadowlark Brewing,"Montana, United States",Scotch Ale / Wee HeavyRanked #92,Scotch Ale / Wee Heavy,Ranked #92, 7%,"87Ranked #17,435",87,"Ranked #17,435",3.85 | pDev: 10.13%,3.85,10.13%,7,20,Active,"Oct 17, 2014"
Canaster Winterscotch Ale,KleinBrouwerij De Glazen Toren,Belgium,Scotch Ale / Wee HeavyRanked #93,Scotch Ale / Wee Heavy,Ranked #93, 8.7%,"87Ranked #17,550",87,"Ranked #17,550",3.86 | pDev: 10.36%,3.86,10.36%,85,156,Active,"Jan 04, 2006"
Iron Thistle,Rahr & Sons Brewing Company,"Texas, United States",Scotch Ale / Wee HeavyRanked #94,Scotch Ale / Wee Heavy,Ranked #94, 7%,"87Ranked #17,617",87,"Ranked #17,617",3.86 | pDev: 12.69%,3.86,12.69%,90,328,Active,"May 30, 2009"
Drafty Kilt,Monday Night Brewing,"Georgia, United States",Scotch Ale / Wee HeavyRanked #95,Scotch Ale / Wee Heavy,Ranked #95, 7.2%,"87Ranked #17,622",87,"Ranked #17,622",3.86 | pDev: 10.36%,3.86,10.36%,66,367,Active,"Aug 09, 2011"
Single Malt Scotch Ale,Square One Brewery & Distillery,"Missouri, United States",Scotch Ale / Wee HeavyRanked #96,Scotch Ale / Wee Heavy,Ranked #96, 5.75%,"87Ranked #17,961",87,"Ranked #17,961",3.84 | pDev: 10.16%,3.84,10.16%,9,31,Active,"Jun 25, 2009"
Hammer And Nail,Aslin Beer Company,"Virginia, United States",Scotch Ale / Wee HeavyRanked #97,Scotch Ale / Wee Heavy,Ranked #97, 7.2%,"86Ranked #18,196",86,"Ranked #18,196",3.83 | pDev: 14.88%,3.83,14.88%,3,24,Active,"Dec 10, 2015"
Lord James,Whole Hog Beer,"Wisconsin, United States",Scotch Ale / Wee HeavyRanked #98,Scotch Ale / Wee Heavy,Ranked #98, 7%,"86Ranked #18,318",86,"Ranked #18,318",3.83 | pDev: 11.49%,3.83,11.49%,8,31,Active,"Jul 26, 2013"
Claymore,Great Divide Brewing Company,"Colorado, United States",Scotch Ale / Wee HeavyRanked #99,Scotch Ale / Wee Heavy,Ranked #99, 7.7%,"87Ranked #18,128",87,"Ranked #18,128",3.85 | pDev: 11.43%,3.85,11.43%,524,"1,597",Active,"Jan 22, 2009"
Local Grind,Empire Brewing Company,"New York, United States",Scotch Ale / Wee HeavyRanked #100,Scotch Ale / Wee Heavy,Ranked #100, 7.2%,"86Ranked #18,513",86,"Ranked #18,513",3.83 | pDev: 11.75%,3.83,11.75%,8,44,Active,"Jan 27, 2013"
Tripel Van De Garre,Brouwerij Van Steenberge N.V.,Belgium,TripelRanked #1,Tripel,Ranked #1, 11%,97Ranked #538,97,Ranked #538,4.4 | pDev: 8.86%,4.4,8.86%,119,442,Active,"Nov 03, 2003"
La Fin Du Monde,Unibroue,"Quebec, Canada",TripelRanked #2,Tripel,Ranked #2, 9%,"96Ranked #1,034",96,"Ranked #1,034",4.32 | pDev: 11.34%,4.32,11.34%,"3,171","10,731",Active,"Jun 23, 1998"
Trappist Tripel,Brouwerij Westmalle,Belgium,TripelRanked #3,Tripel,Ranked #3, 9.5%,"95Ranked #1,267",95,"Ranked #1,267",4.3 | pDev: 10%,4.3,10%,"1,892","4,982",Active,"Nov 06, 2000"
